"id","label","mots_clefs","type","catégorie","prix_achat","date_acquisition","donateur","date_modif","édition","nom","interne","année","statut","tampon","état_général","qualité_photo","rareté","interêt","pivée","note_admin","note_visiteur","pos_x","pos_y","angle_photo","pos_x_photo","pos_y_photo","adresse_nom","adresse_1","adresse_2","adresse_ville","adresse_pays","valeur","précédent","suivant","pays","région","fleuve","pk","rive","sens","description","remarques","message"
"63","Saint-Germain Le sommet de l'ascenseur et Pavillon Henry IV","Ascenseur, Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"64","99 Saint-Germain Le sommet de l'ascenseur et Panorama depuis Pavillon Henry IV","Ascenseur, Viaduc, Le Spa français, Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"65","Saint-Germain L'ascenseur et la descente des Grottes","Ascenseur, Grottes, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"66","58 Saint-Germain L'ascenseur et la descente des Grottes","Ascenseur, Grottes, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"67","6 Saint-Germain Panorama pris de la terrasse - L'Ascenseur","Ascenseur, Viaduc, Le Spa français, Saint-Germain-en-Laye, la Terrasse Saint-Germain-en-Laye - L'Ascenseur","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"68","2320 Saint-Germain  L'Ascenseur et La Vallée de la Seine","Pont, Ascenseur, Viaduc, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"69","19 Saint-Germain Le Parc  L'Ascenseur et Vue générale du Pecq","Le Pecq, Ascenseur, Viaduc, Le Spa français, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"70","52 Saint-Germain Sur le pont de l'Ascenseur","Ascenseur, Cycliste, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"71","20 Saint-Germain Le Parc  L'Ascenseur et le Panorama","Ascenseur, Cycliste, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"72","28 Saint-Germain Le Pavillon Henry IV ou naquit Louis XIV","Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
